title;Body;Nid;postdate;Published;startdate;enddate;Term;LocationName;Uid;username
Bezoek van Gitaarorkest Deinze vanaf 14u.  Concert om 18u daarna gezamenlijk etentje.;14u: ontvangst in Oblatenauditorium, koffie, repetities <br/>18u: concert in Oblatenauditorium<br/>19u30 gezamenlijk etentje in Oblatenauditorium<br/>programma concert:<br/>Palladio (gezamenlijk als begin van het concert)<br/>Dreams of Jamaica<br/>Rumba con trastes<br/>Vuurdans<br/>Back to the future<br/>Voornamtous (gezamenlijk op einde concert) <br/>....;551;1340878065;Yes;1352554200;1352584800;Uitwisseling;Oblatenauditorium;2;marleen
Bezoek van Gitaarorkest Deinze vanaf 14u.  Concert om 18u daarna gezamenlijk etentje.;14u: ontvangst in Oblatenauditorium, koffie, repetities <br/>18u: concert in Oblatenauditorium<br/>19u30 gezamenlijk etentje in Oblatenauditorium<br/>programma concert:<br/>Palladio (gezamenlijk als begin van het concert)<br/>Dreams of Jamaica<br/>Rumba con trastes<br/>Vuurdans<br/>Back to the future<br/>Voornamtous (gezamenlijk op einde concert) <br/>....;551;1340878065;Yes;1352554200;1352584800;Practische Info;Oblatenauditorium;2;marleen
Repetitie in Torenhof! Let op datum is gewijzigd naar zondag 4 november!;Programma van het concert met God. <br/>Palladio<br/>Vuurdans<br/>Rumba con trastes<br/>Beat of santa rosa<br/>Dreams of jamaica<br/>Back to the future<br/>Voornamtous;565;1345749199;Yes;1352019600;1352028600;Repetitie;Torenhofschool;2;marleen
Repetitie;Tweede deel van het Lorca concerto<br/>Voornamtous<br/>Back to the future,<br/>Vuurdans(einde in een goed tempo) <br/>Canarios!!!!;563;1345145649;Yes;1351339200;1351346400;Repetitie;Ernest Claesklas;2;marleen
Repetitie;Vuurdans, tempo opdrijven<br/>Voornamtous<br/>Dreams of Jamaica herhalen<br/>herhalen back to the future: intro en Sandman (geen elektrische gitaren nodig dus)<br/>concerto deel 2 en 3<br/>Canarios: eerste lezing... <br/>groot programma dus voor 1 repetitie :-);561;1345145500;Yes;1350734400;1350741600;Repetitie;Ernest Claesklas;2;marleen
Groepsfoto om 8u! euh 8u55.;Groepsfoto én individuele fotoshoot. <br/>Voor website en publiciteit. goed wakker, of walletjes weggeschminkt<br/>In het zwart gekleed, en gitaar mee brengen!;571;1348219030;Yes;1350197700;1350201600;Optreden;Park Casier;2;marleen
repetitie met duo Flamas;We oefenen het concerto met duo Flamas. <br/>Bedoeling is, alles door te nemen, maar we concentreren ons vooral op deel 1 en 3<br/>Oefenen dus!!! <br/>Ik maak een opname van de repetitie. Om thuis mee verder te oefenen...;549;1340704120;Yes;1350128700;1350136800;Repetitie;Ernest Claesklas;2;marleen
repetitie met duo Flamas;We oefenen het concerto met duo Flamas. <br/>Bedoeling is, alles door te nemen, maar we concentreren ons vooral op deel 1 en 3<br/>Oefenen dus!!! <br/>Ik maak een opname van de repetitie. Om thuis mee verder te oefenen...;549;1340704120;Yes;1350128700;1350136800;Optreden;Ernest Claesklas;2;marleen
Repetitie;Concerto volledig doornemen (volgende week repetitie met het duo)<br/>Voornamtous<br/>Palladio;560;1345145447;Yes;1349524800;1349532000;Repetitie;Ernest Claesklas;2;marleen
Repetitie en afhalen pralines en wijn.  (niet vergeten!);Vuurdans<br/>en 2e deel concerto doornemen. (het is traag...) en 1e deel. <br/>Canarios<br/>Rumba con trastes herhalen.;557;1344446757;Yes;1348920000;1348927200;Repetitie;Ernest Claesklas;2;marleen
Repetitie;concerto: 2e en 3e deel<br/>Vuurdans<br/>en iets nieuw...;556;1344446703;Yes;1348315200;1348322400;Repetitie;Ernest Claesklas;2;marleen
Waregemse cultuurmarkt van 15:00 tot 18:00, optreden om 16u45;Waregemse cultuurmarkt.<br/>We vertegenwoordigen Alegria met een standje op de cultuurmarkt.<br/>we zetten lokgitaristen in... Wie wil dit doen?<br/>en we doen een klein optredentje om 16u45 in zaal Mustang (CC De Schakel)<br/>Programma<br/>Beat of Santa Rosa<br/>Dreams of Jamaica<br/>Rumba con Trastes<br/>Back to the future.;548;1336727014;Yes;1347714000;1347724800;Optreden;Het Pand;2;marleen
Repetitie;Repetitie van het programma dat we op de cultuurmarkt spelen. <br/>Beat of Santa Rosa<br/>Dreams of Jamaica<br/>Rumba con Trastes<br/>Back to the future.<br/>daarna gaan we naar de cultuurmarkt. (lokgitaristen installeren zich ergens) <br/>Na ons optreden, graag een paar mensen die meehelpen ons muziekmateriaal op te ruimen, en de kar met materiaal naar de muziekschool te brengen.;567;1346353503;Yes;1347708600;1347712200;Repetitie;Ernest Claesklas;2;marleen
Repetitie;Het programma van de cultuurmarkt volgende week. <br/>Beat of Santa Rosa (wie er iets nieuw in heeft, inoefenen he)<br/>Dreams of Jamaica (wie er iets nieuw in heeft, inoefenen dus) <br/>Rumba con Trastes<br/>Back to the future.<br/>Enne ook nog: het derde deel van het concerto<br/>en de eerste helft van de vuurdans. <br/>PS PS : Palladio is geschrapt. Maar houden we op de programmatie op 10 november....;555;1344446542;Yes;1347105600;1347112800;Repetitie;Ernest Claesklas;2;marleen
